TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate
Customer Age between 30 and 50
TX000007,AC00199,7.08,2023-02-15T16:36:48,Credit,Seattle,D000241,140.212.253.222,M019,ATM,37,Doctor,139,1,13316.71,2024-11-04T08:10:09
TX000016,AC00270,465.45,2023-12-12T16:23:31,Debit,Denver,D000466,221.169.49.152,M025,ATM,36,Engineer,129,1,3465.54,2024-11-04T08:12:19
TX000018,AC00359,492.93,2023-12-14T18:32:14,Debit,Columbus,D000432,114.223.129.47,M059,Online,39,Engineer,234,1,5109.97,2024-11-04T08:11:51
TX000022,AC00014,85.77,2023-08-11T18:31:31,Debit,Las Vegas,D000268,59.132.247.252,M065,Branch,38,Doctor,93,1,9146.19,2024-11-04T08:08:13
TX000023,AC00095,52.2,2023-06-06T18:54:15,Debit,Atlanta,D000142,133.63.96.21,M022,Online,39,Engineer,120,1,8974.93,2024-11-04T08:07:01
TX000028,AC00057,40.32,2023-03-29T16:42:38,Debit,Milwaukee,D000310,21.28.32.1,M008,Branch,37,Engineer,95,1,2686.52,2024-11-04T08:11:59
TX000029,AC00390,127.45,2023-01-24T16:18:32,Debit,Las Vegas,D000232,152.234.65.155,M092,Online,44,Doctor,197,1,1772.06,2024-11-04T08:11:22
TX000033,AC00060,396.45,2023-09-25T16:26,Debit,New York,D000621,133.67.250.163,M007,ATM,49,Engineer,168,3,9690.15,2024-11-04T08:11:13
TX000035,AC00365,255.26,2023-10-27T16:42:49,Credit,San Francisco,D000357,92.214.76.157,M002,Branch,45,Doctor,50,1,14815.87,2024-11-04T08:10:51
TX000036,AC00267,124.76,2023-10-16T16:32:56,Debit,Seattle,D000042,59.145.242.13,M002,Branch,49,Engineer,45,1,5764.72,2024-11-04T08:06:23
TX000042,AC00480,34.02,2023-01-09T16:13:21,Debit,Philadelphia,D000627,109.105.179.186,M046,Online,38,Doctor,19,1,14214.48,2024-11-04T08:11:45
TX000050,AC00471,22.01,2023-03-27T16:45:18,Credit,Sacramento,D000304,124.6.134.78,M055,Online,41,Engineer,175,1,1335.09,2024-11-04T08:06:31
TX000059,AC00143,386.52,2023-06-09T16:18:15,Debit,Indianapolis,D000145,186.54.68.246,M064,Branch,48,Engineer,28,1,5630.61,2024-11-04T08:07:09
TX000061,AC00438,568.52,2023-10-06T18:44:37,Debit,Indianapolis,D000233,27.143.109.203,M094,ATM,46,Engineer,152,1,5499.91,2024-11-04T08:06:25
TX000063,AC00425,349.64,2023-11-07T16:48:23,Debit,Las Vegas,D000516,9.230.41.239,M097,Online,48,Engineer,226,1,6651.62,2024-11-04T08:08:09
TX000065,AC00434,5.77,2023-11-02T16:01:40,Debit,Charlotte,D000461,155.164.18.235,M071,Online,50,Doctor,124,1,13988.12,2024-11-04T08:11:32
TX000066,AC00242,201.33,2023-03-29T17:00:31,Credit,Nashville,D000098,145.246.171.225,M003,Branch,42,Engineer,186,1,2585.07,2024-11-04T08:11:41
TX000070,AC00395,189.12,2023-11-13T16:42:28,Credit,Indianapolis,D000684,125.89.163.224,M040,Branch,32,Engineer,103,1,977.01,2024-11-04T08:08:42
TX000071,AC00217,133.55,2023-07-18T16:12,Debit,Atlanta,D000201,40.226.196.34,M091,ATM,44,Engineer,220,1,3846.28,2024-11-04T08:10:18
TX000072,AC00053,143.21,2023-01-13T17:00:16,Debit,Dallas,D000410,65.164.3.100,M066,Online,35,Engineer,135,1,6374.82,2024-11-04T08:09:26
TX000076,AC00239,232.12,2023-12-28T17:31:03,Debit,Omaha,D000073,156.173.170.140,M066,ATM,37,Engineer,51,1,6689.87,2024-11-04T08:09:17
TX000078,AC00022,91.53,2023-03-13T16:32:12,Debit,Milwaukee,D000363,94.37.250.128,M095,Branch,44,Doctor,69,1,14676.05,2024-11-04T08:11:36
TX000080,AC00014,174.25,2023-07-17T18:54:31,Debit,Seattle,D000375,130.92.201.49,M032,Online,50,Doctor,67,1,10528.34,2024-11-04T08:10:29
TX000081,AC00406,183.71,2023-06-19T18:22:10,Debit,Denver,D000488,86.103.2.29,M074,ATM,38,Engineer,102,1,552.52,2024-11-04T08:09:51
TX000084,AC00220,259.91,2023-11-06T16:34:10,Debit,Denver,D000616,36.13.239.172,M028,Online,49,Doctor,170,1,7176.86,2024-11-04T08:09:38
TX000085,AC00140,154.71,2023-07-03T16:40:24,Debit,San Diego,D000494,167.104.180.235,M030,Online,34,Doctor,157,1,1523.72,2024-11-04T08:09:42
TX000088,AC00373,568.07,2023-08-28T17:03:53,Debit,Washington,D000018,8.243.4.138,M054,ATM,48,Doctor,115,1,10556.81,2024-11-04T08:07:32
TX000100,AC00178,115.02,2023-09-11T16:19:04,Debit,San Antonio,D000528,134.222.122.238,M004,Branch,37,Doctor,175,1,7643.66,2024-11-04T08:08:38
TX000101,AC00265,383.37,2023-01-24T17:23:56,Debit,Fort Worth,D000321,18.72.115.111,M066,Branch,30,Engineer,24,1,8901.93,2024-11-04T08:11:07
TX000105,AC00170,129.94,2023-01-02T16:36:02,Debit,Las Vegas,D000647,111.226.226.202,M045,ATM,32,Engineer,235,1,7954.92,2024-11-04T08:06:35
TX000106,AC00235,306.9,2023-11-30T16:31:03,Debit,Colorado Springs,D000078,96.115.67.230,M047,Online,46,Engineer,51,1,9418.08,2024-11-04T08:10:48
TX000115,AC00336,327.86,2023-02-10T16:52:48,Debit,Fresno,D000655,188.124.181.12,M051,Online,40,Engineer,104,1,480.16,2024-11-04T08:06:30
TX000116,AC00468,2.5,2023-07-21T16:43:11,Debit,San Diego,D000673,44.73.3.217,M042,Online,47,Doctor,107,1,12145.27,2024-11-04T08:09:53
TX000118,AC00498,56.98,2024-01-01T16:34:10,Credit,Oklahoma City,D000256,101.90.40.193,M086,ATM,43,Engineer,122,2,5688.37,2024-11-04T08:07:42
TX000120,AC00092,115.83,2023-05-22T17:09:52,Debit,Fresno,D000663,124.6.134.78,M086,Branch,39,Engineer,167,1,6481.04,2024-11-04T08:10:02
TX000122,AC00358,63.34,2023-11-17T16:02:02,Credit,Detroit,D000434,69.82.61.135,M028,Online,46,Doctor,165,1,11174.94,2024-11-04T08:10:13
TX000124,AC00066,331.65,2023-08-25T17:26:07,Debit,Portland,D000037,26.240.219.199,M006,Online,41,Engineer,61,1,4172.57,2024-11-04T08:11
TX000131,AC00382,124.72,2023-07-03T17:14:07,Debit,Oklahoma City,D000118,147.234.20.46,M004,Branch,33,Engineer,105,1,6309.8,2024-11-04T08:07:25
TX000133,AC00203,208.04,2023-11-20T17:10:02,Debit,Louisville,D000339,65.27.212.129,M055,Online,47,Engineer,273,1,9344.98,2024-11-04T08:08:45
TX000136,AC00177,16.16,2023-10-16T16:59:36,Debit,Milwaukee,D000465,161.177.41.214,M065,ATM,50,Doctor,124,1,14401.17,2024-11-04T08:11:59
TX000141,AC00403,6.0,2023-10-23T18:38:15,Debit,Chicago,D000556,18.72.115.111,M090,Online,30,Doctor,246,1,5442.76,2024-11-04T08:09:43
TX000148,AC00161,514.95,2023-04-13T18:37:48,Debit,New York,D000109,23.92.205.75,M056,Online,41,Doctor,142,5,421.93,2024-11-04T08:10:01
TX000152,AC00242,332.93,2023-11-20T16:29:48,Credit,Albuquerque,D000548,113.115.81.178,M039,Branch,35,Engineer,293,1,2788.2,2024-11-04T08:08:14
TX000155,AC00087,376.26,2023-02-15T16:41:11,Debit,Tucson,D000481,82.88.241.226,M081,ATM,37,Engineer,245,1,9062.4,2024-11-04T08:09:58
TX000156,AC00174,83.02,2023-09-04T17:59:51,Credit,Seattle,D000226,34.92.221.183,M058,Online,36,Engineer,171,1,9009.56,2024-11-04T08:11:01
TX000162,AC00227,307.57,2023-01-09T16:12:01,Debit,Detroit,D000076,128.16.32.183,M049,Branch,33,Doctor,285,1,5307.74,2024-11-04T08:06:33
TX000166,AC00182,231.91,2023-01-31T18:31:22,Debit,Memphis,D000371,161.71.2.223,M044,ATM,34,Engineer,165,1,112.76,2024-11-04T08:12:15
TX000169,AC00202,304.35,2023-12-04T17:07:34,Debit,Houston,D000281,183.39.94.209,M007,Branch,31,Engineer,36,1,4057.1,2024-11-04T08:08:45
TX000171,AC00474,777.88,2023-03-20T16:58:12,Debit,Houston,D000436,139.23.212.102,M018,Branch,31,Engineer,17,1,6825.55,2024-11-04T08:09:15
TX000181,AC00036,740.25,2023-07-19T17:03:58,Debit,Philadelphia,D000030,1.198.76.182,M010,Online,41,Doctor,123,1,14464.3,2024-11-04T08:08:27
